model,non_invariant,random_non_invariant,h_nmi,h_mi,h_nmi_p,h_mi_p,type,run_number,computer
intercepts,0.045,0.157,-0.387306873255091,0.387306873255091,-0.123283606744028,0.123283606744028,Invariant,1,computer1_1
loadings,0.846,0.154,1.52851172719972,-1.52851172719972,0.486540393915534,-0.486540393915534,Invariant,1,computer1_1
residuals,0.104,0.107,-0.00976596395875839,0.00976596395875839,-0.00310860287618739,0.00310860287618739,Invariant,1,computer1_1
intercepts,0.17,0.157,0.0351584277248465,-0.0351584277248462,0.0111912751274969,-0.0111912751274968,Small Loadings,1,computer1_1
loadings,0.237,0.189,0.117403855706382,-0.117403855706382,0.0373708079474366,-0.0373708079474367,Small Loadings,1,computer1_1
residuals,0.144,0.109,0.105525841343351,-0.105525841343351,0.0335899185474507,-0.0335899185474508,Small Loadings,1,computer1_1
intercepts,0.145,0.157,-0.033521020751236,0.0335210207512358,-0.0106700723000904,0.0106700723000903,Medium Loadings,1,computer1_1
loadings,0.626,0.138,1.06432999241338,-1.06432999241338,0.338786758747098,-0.338786758747098,Medium Loadings,1,computer1_1
residuals,0.22,0.096,0.346363836347994,-0.346363836347994,0.110251033326111,-0.110251033326111,Medium Loadings,1,computer1_1
intercepts,0.027,0.127,-0.398630474967013,0.398630474967013,-0.12688802111614,0.12688802111614,Large Loadings,1,computer1_1
loadings,0.841,0.131,1.58059551749281,-1.58059551749281,0.503119179275745,-0.503119179275745,Large Loadings,1,computer1_1
residuals,0.089,0.108,-0.0638305413380917,0.063830541338092,-0.0203178923483777,0.0203178923483778,Large Loadings,1,computer1_1
intercepts,0.091,0.144,-0.165583045164244,0.165583045164245,-0.0527067202601961,0.0527067202601962,Small Intercepts,1,computer1_1
loadings,0.87,0.176,1.53802594082161,-1.53802594082161,0.489568862170645,-0.489568862170645,Small Intercepts,1,computer1_1
residuals,0.038,0.103,-0.261051313012106,0.261051313012107,-0.0830952137330125,0.0830952137330128,Small Intercepts,1,computer1_1
intercepts,0.131,0.155,-0.0686126440536858,0.0686126440536863,-0.0218400829194977,0.0218400829194978,Medium Intercepts,1,computer1_1
loadings,0.869,0.153,1.59713172901653,-1.59713172901653,0.508382818883774,-0.508382818883774,Medium Intercepts,1,computer1_1
residuals,0,0.107,-0.666484328707463,0.666484328707462,-0.212148550814153,0.212148550814152,Medium Intercepts,1,computer1_1
intercepts,0.146,0.157,-0.0306849761488413,0.0306849761488413,-0.00976733126548999,0.00976733126548999,Large Intercepts,1,computer1_1
